userName,score,content,at,sentiment
Rita Mita,5,SANGAT BAGUS.,2025-05-15 16:21:04,positif
Guntur Rahman,5,terimakasih aku bangga dengan game ini,2025-05-15 13:54:11,positif
muh aditya,5,mantep banget ini game... mungkin bisa di tambahkan pesawatnya seperti A400M & C 390 mungkin lebih keren overall good job buat team developer👍👍👍,2025-05-15 10:45:10,positif
Muhammad Arkan Attaya,5,"hello World of Airports™, I really like the game, I was very excited when version 3.0 was released. please remove the line-up feature when the plane is about to take off, this will only slow down the departure and arrival of the plane, I hope the FlyBoys team will fix this in the next version, My suggestion please upgrade the B747 Family model. also please add the Fokker 100 aircraft and a new model for the B737 and please makeover the NGO (Nagoya) airport",2025-05-15 01:21:30,positif
Diyas Agustiya,5,"Saya sangat suka dengan versi terbaru. Apalagi jika bandara di ASEAN terutama di Indonesia bisa dibuat, dan semoga kedepannya lebih baik lagi dan satu lagi berikan event yang bagus biar player makin betah main ini game. Terima kasih",2025-05-14 11:22:26,positif
Adit Dwiputra,3,lumayan,2025-05-14 05:13:55,netral
Berni Fattah,5,makin keren sih update an kali ini.,2025-05-13 17:44:00,positif
FAHRI RAHMAT,5,ada beberapa pesawat yang kacanya hitam enggak seperti pesawat pada lainnya yang kacanya bening dan kelihatan jelas pilotnya dan kalau bisa eksterior dan interior pesawatnya bisa dimainkan oleh playernya dan semua maskapai yang ada di Indonesia dimasukkan ke dalam game ini Terima aksih sukses untuk developernya👏🙏,2025-05-13 17:26:40,positif
Aziz Normansyah,3,"gamenya sudah bagus, tp untuk update terbaru ui nya sangat membingungkan, lebih baik seperti yang lama. yg dulunya saya main setiap hari sekarang jadi kurang suka. semoga ada perbaikan",2025-05-13 14:11:18,netral
Dian Riki,5,permainan nya bagus,2025-05-13 11:42:05,positif
Cocote GedeBae,5,"gamenya bagus tapi tolong, ketika buka 2 layar/float game masih berjalan.....",2025-05-12 10:27:46,positif
Omponk,5,"game nya bagus tapi sayang perlu koneksi internet, tolonglah buat game tanpa koneksi internet 🙏",2025-05-11 23:05:02,positif
Ari Maulana,3,"The game is pretty good, but suddenly the game bugs and is stiff when moving the screen.",2025-05-11 01:52:50,netral
Ros,5,tolong tambahkan mode offline,2025-05-10 06:00:22,positif
Supriyanto,5,"sangat bagus sekali, perlu di tambahkan airport soekarno hatta",2025-05-09 13:13:39,positif
Jascha Immanuel,5,"Bagus banget si menurut gw....soalnya ada beberapa bandara yang belum dibuka dan itu menurut saya membuat player tambah semangat.Saya berharap ada update: 1.Harga kendaraan di turunkan...masa beli kendaraan doang habisnya 3500? mending gausah. 2.Pilihan grafis yang lengkap (fps,anti aliasing,quality,dll) 3.Tambahkan mode teamwork multiplayer. Menurut aku itu aja sih...makasih buat Dev nya semangat terus yaa🫵💪",2025-05-09 11:26:59,positif
Akbar yusuf Maulana,5,"dari grafik dan lain lain udh bagus,menurut saya bandara Nagoya di perbarui bang kyk garbarata nya di realistisin kyk bandara yg lain dan terminal nya juga",2025-05-09 02:44:08,positif
Hanna Fia,5,geme nya bagus tolong tambahkan pesawat Indonesia lebih bnyk nih geme rekomendasi sekali,2025-05-08 16:06:42,positif
Noor Edy,3,"bagus yang dlu lah, yang ada ini ke Maslah ya para kru ya di Batasin. jdi ga bisa bnyak nampung ya",2025-05-08 15:17:10,netral
Jos Sua,5,"gamenya seru, untuk developer nya tolong mudahkan mendapatkan koin emasnya, kalau mau beli pesawat koin emasnya kemahalan, terimakasih",2025-05-08 14:57:27,positif
Yulius Putra Perdana,4,game paling bagus....,2025-05-08 04:49:06,positif
Adzan Ariesyahbana,1,Gimana ini game sudah di buka beberapa bandara koin sudah banyak kenapa pas mau main lagi malahan ulang dari awal semua koinnya hilang,2025-05-08 02:03:23,negatif
Denny Lim,5,update yang keren,2025-05-08 00:05:09,positif
Falih Abadi,5,bagus banget tapi gimana cara mainnya,2025-05-07 12:00:29,positif
Made Sumbramana,4,"halo, saya sangat berterima kasih kepada developer karena sudah membuat game yg bagus ini. Ini saya memberikan saran agar penambahan bandara selanjutnya ada di benua asia, baik itu asia tenggara, asia selatan, asia timur atau Asia Tengah. kalo boleh tambahkan bandara CGK bandara internasional Sukarno-Hatta, karna saya ingin memakai bandara yg ada di negara saya sendiri. dan tolong kurangi penambahan bandara"" di Amerika Serikat karena sdh terlalu banyak. Sekian terimakasih..",2025-05-06 12:40:56,positif
Kevin Mangangantung,1,ayolah dev kenapa kalian menjadi seperti ini sebelum game ini di update menjadi versi 3.0.2 masih menjadi lumayan ringan kenapa sekarang setelah update ke versi 3.0.2 menjadi lebih berat ada apa dev? banyak player yang pensiun karena aplikasi versi sekarang menjadi lebih berat jikalau game ini memang tidak sempurna sepenuhnya tapi setidaknya menjadi playable untuk ram 3-4 tolong ringankan game ini🙏,2025-05-05 15:37:58,negatif
Budi Mutiara,5,mantap tolong update lagi ada map indonesia ny,2025-05-04 07:40:19,positif
Rafiki Alfaro,1,apa ini 😡😡😡kok gak bisa dimasukin game nya padahal udah download tolong kenapa malah ada tulisan terjadi nya masalah padahal koneksi aktif tolong 😡😡😡😡 diperbaiki,2025-05-04 07:31:54,negatif
lintar aryasatya abhirama,2,"kok setelah ubdate bandara yang saya udah buka ko kekunci, udah cape² grending malah kekunci",2025-05-03 08:25:21,negatif
Ratikah Wanti,1,game yg buang² game lain doang 👎👎👎,2025-05-03 07:56:36,negatif
Revanza,1,"very long waiting for loading to enter the airport, this has happened several times. this kills the mood to play. bug? stuck?",2025-05-02 14:03:09,negatif
Tengku Arga,5,dikasih banyak lagi item yang gratis,2025-05-02 06:22:45,positif
Ghaniy Lababan,4,"This game is my favorite, but some planes have not been updated yet, such as the Boeing 747F, 748, 757, hopefully it will be released soon, because it is very different from other planes🙃",2025-05-02 02:32:53,positif
Ahmad Umam,5,game nya sangat seru!! dimainkan ayo donwload sekarang jugaa!!!,2025-05-01 02:10:39,positif
RAU Sia,5,"tolong ban pesawat di perbaiki terlihat kaku ketika bergerak, roda pesawat tidak bergerak ketika jalan tidak realistis tolong itu saja walau terlihat seperti bergerak tetapi tidak tolong ditingkatkan lagi",2025-04-30 12:11:35,positif
Ewaldus Sangga,2,"bisakan memainkan secara offline maksudnya, saya susah memiliki kuota😭",2025-04-30 12:08:13,negatif
Amang Abdul,2,maaf ini game terulang kembali bug bug nya 😭😭😭,2025-04-30 04:04:42,negatif
Arefan Maulana Maulana,1,penipuuu nggak bisa dimainin,2025-04-29 23:20:18,negatif
SHAKEIL OFFICIAL,4,min perbaiki donk gambar layar hilang setelah upadate tanggal 29 / 4/25,2025-04-29 16:51:57,positif
Rafif Wahyu,3,hmm semakin kita lama main world of airports nya semakin lama jugaa ngelag bengat malah,2025-04-28 18:27:51,netral
Diki Pratama28,2,knp game ini gabisa jdi pilot sendiri ya malah cuma ngeliatin doang gabisa di bawa sama kita sendiri pesawatnya,2025-04-28 18:09:45,negatif
Wahyu Alifan,3,"nemu bug ini kirim dimana yaaa, lumayan rugi waktu sih gamenya harus disclose dulu baru bisa bener lagi, padahal semua pesawat udah taxi ke gate masing"" ketahan gara gak mau mengalah peswat yang mau lewat",2025-04-28 17:39:41,netral
Yana Yulio,2,"kenapa di update sekarang ko patah-patah grafik yah,sebelumnya lancar jaya.coba dong perbaiki lagi",2025-04-28 14:10:33,negatif
Hariadi Labib,5,𝕓𝕒𝕘𝕦𝕤 𝕓𝕒𝕟𝕘𝕖𝕥 𝕘𝕒𝕞𝕖 𝕟𝕪𝕒,2025-04-28 07:26:18,positif
Lusiana Ratnasari,5,"kenapa pesawat cargo C17, C130, AN 225 & Airbus beluga dihilangkan padahal berharap tambah juga C5 galaxy",2025-04-27 22:01:16,positif
Baginda Dermawan,5,tambahin maskapai indonesia dong dan bandara indonesia nya,2025-04-27 19:54:12,positif
bani,5,"Game yang sangat hebat, walau secara gameplay sangat sederhana. Sedikit masukan, kontennya lebih diperkaya kembali, jangan terlalu ekslusif dengan membayar item tersebut. 💫🔥",2025-04-27 12:59:08,positif
Felikx hwjy.,1,Why can't I download the airport package? even though my network is smooth,2025-04-27 01:51:47,negatif
Ibnu Adhitomo,5,"setelah saya main hampir setahun ini, game ini semakin membaik dari tampilan, lalu dari stand, jenis pesawat hingga penambahan bandara secara bertahap. saran dari saya semoga bisa dipertimbangkan yaitu: 1. untuk pilihan dipaling kanan tambahin menu penumpang atau barang atau ukuran dari A-G jadi kita bisa memilih untuk pesawat untuk landing duluan. karena saya di bandara IAD atau bandara LHR atau bandara BKK saya kewalahan harus scroll scroll nyari pesawat barang terima kasih 🙂",2025-04-26 13:58:00,positif
Adrian Dahlia,5,seru banget itu gemes .,2025-04-26 12:24:48,positif
Milan Dewantara,5,bagus bgt sekarang udah ada fitur emergency dan grafiknya jg udah makin bagus tapi masih ada yang kurang tolong tambahin concorade biar makin realtolong update berikutnya adaya pls,2025-04-26 07:05:34,positif
Hanisah Arcan Samawati,4,tolong perbaikin di tab huawei malah stuck malah hp yg bisa,2025-04-26 00:17:50,positif
Lienzy,5,"tolong dong min harga emasnya di kurangin mahal bangett,sama tambahkan mode camera bebass dong saran aja si semoga di kabulkan",2025-04-25 12:36:22,positif
Didik Darmadi,3,knp sekarang sering bug game nya .susah masuk sekali nya masuk langsung eror lagi game nya.bagus yg sblom di update,2025-04-25 12:19:26,netral
irman n,5,setelah update terbarunya..malah loading lama ga bisa main...trs icon nya jadi terlalu kecil..maaf ya,2025-04-25 11:05:37,positif
maryanhidayat harahap,1,loading lamaa,2025-04-25 10:12:43,negatif
Saugi Herdiansyah,5,game yang seru. mengisi waktu luang. untuk developer. mohon update baru dan tambahkan CGK airport dong,2025-04-25 07:59:19,positif
Samuel Siahaan,5,amazing game,2025-04-24 21:16:59,positif
Diant Pramelin,3,2 hari ini tidak bisa login,2025-04-24 10:32:07,netral
Aji Pramono,5,"Sangat suka dgan gamesnya . boleh usul bandara indonesia dong , bandara Soeta dan Bali",2025-04-24 10:31:27,positif
leonhard rajadura,5,"Untuk developer gamenya sudah bagus, kontrolnya dan tipe tipe pesawatnya juga mempermudah saya, saya suka banget. Cuman tolong diperbaiki dong layar yang kadang kadang suka glitch sama fisik pesawat yang tiba tiba suka hilang",2025-04-24 08:26:02,positif
Bayu Sondakh,4,kenapa setelah saya update tidak bisa kebuka ya???,2025-04-24 07:31:06,positif
Pemuda al irsyad Pamekasan,1,gimana log in nya,2025-04-24 04:34:31,negatif
Omenn Men (Men),2,"To the previous developer, I played this game fine, but after a while I updated this game, a bug appeared in the game. Please fix the game.",2025-04-24 03:40:17,negatif
Fajar Yoi1140,5,update ini bagus,2025-04-24 03:13:31,positif
Fajar Bwaloeyo,4,kenapa tidak bisa di mainkan melalui tablet Huawei?,2025-04-24 01:46:34,positif
Maulana Mansyur,5,setelah update nggak bisa dibuka min:),2025-04-24 00:27:06,positif
Rickky Arnold Luzikooij,2,update terbaru ini tolong beri pilihan pada pengaturan untung mematikan efek garis pada pesawat. jujur sangat mengganggu saya yang sangat suka pemandangan realistis,2025-04-23 16:46:37,negatif
Aji Prakoso,5,okey,2025-04-23 15:58:36,positif
Intan Nur Rahmah,5,"kerenn banget!! update makin bagus, bisa landingin pesawat sendiri, makin banyak airport juga. semoga kedepannya update semakin bagus sampai i Gusti Ngurah Rai airport atau Soekarno Hatta international airport!!",2025-04-23 14:42:32,positif
Zulkifli 0,4,"untuk semua fitur nya sudah bagus,cuman tolong di tambahkan fitur profile username atau user id untuk mempermudah pemain untuk menemukan bandara yang di tuju",2025-04-23 14:18:33,positif
fitri nurinayahti,5,"bagus, menyenangkan, menghibur,, tampilan juga oke..",2025-04-23 13:17:38,positif
Muhammad Albar Fadhillah,3,"tolong kembalikan daftar kedatangan pesawat jadi kecil lagi, kalau gede malah jadi susah",2025-04-23 11:06:17,netral
Fahrul Amlain,5,game oke,2025-04-23 10:45:05,positif
Radin,5,game nya bagus,2025-04-23 10:07:04,positif
Moh Faisal,3,"update terbaru gua kadang tidak bisa masuk ke game, kadang waktu berjalan tapi kru ngga Bekerja akhirnya delay, sama tolong dong untuk bandara yang mempunyai beberapa landasan pacu tapi cuman satu yang terpakai untuk bisa di gunakan semua landasan pacu",2025-04-23 09:55:19,netral
Christian Eliezer,5,Game ini bagus tapi tolong untuk jika memasuki bandara baru uang jangan dikit jadi susah memulai,2025-04-23 07:06:45,positif
Cleanz Gaming,5,"bagus , kalo bisa untuk petugas tower di sediakan bunddle khusus buat beli capek isi isi mulu",2025-04-23 05:43:57,positif
Kuro De Vans,2,masih banyak bug nya sering keluar sendiri dan ditambah pesawat cargo type f Antonov A224 kagak bisa dibeli kedepannya tolong dibenerin bug dan pesawat cargo type f Antonov A224 nya bisa dibeli 😭😭😭,2025-04-23 04:49:35,negatif
Adi Ardiansah,5,100%✅,2025-04-23 04:17:51,positif
Shamid Rhamadan,5,"iya ini game sangat seru tapi, tambahin emergency landing dan bandara indonesia!",2025-04-22 13:18:03,positif
Ban Dung,5,airport team macho banget,2025-04-22 07:56:25,positif
Luciana da costa Pinto,5,game Nia bagus main aja dah ga usah banyak ngomon kalo ga mau main ya udah ga usah di mainin gimana sih,2025-04-22 01:21:52,positif
Beautiful Riding,5,thanks for ver 3.0.2 its more comfort and enjoyed,2025-04-22 00:25:48,positif
Ronaldo Mayyendra,4,akun saya kenapa bisa hilang astagaaa,2025-04-21 16:44:21,positif
Hilal Miftah,5,detail pesawat yang bagus sangat realistis....hampir seluruh maskapai dan jenis pesawat yang lengkap,2025-04-21 15:08:22,positif
Didit Ramadhan,5,bagus tapi agak pusing setelah update,2025-04-21 13:30:39,positif
As Abot,5,aku sampai ketagihan maing kan game ini,2025-04-21 12:37:05,positif
Kevin Kusuma,5,game ini sngt seru,2025-04-21 05:28:47,positif
Oriza Arofai,3,"bagus sih, cuma tampilan permainannya lebih mudah yangvlama daripada sekarang",2025-04-20 23:15:59,netral
Muh Naban,4,bagus tapi uang sedikit banget pendapatannya,2025-04-20 02:21:29,positif
Pandu,5,yang AVIATON cocok bet download nih game,2025-04-20 01:38:13,positif
achmad husain,5,sy sudah install dan up grade ulang tapi game nya blm bisa masuk,2025-04-20 01:34:05,positif
fauzan jokambali,5,jozss ngk bosenin,2025-04-19 15:32:58,positif
ARDHAM ABDILLAH,5,"game ini mengajarkan kesabaran, membuat strategi untuk mendapatkan hasil yang di inginkan, dan update terbaru lebih keren, untuk pemula wajib memahami alur game nya, INN airport paling dasar untuk memahami game ini",2025-04-19 10:22:44,positif
Rifatus Sholihin,5,"runway 30 bandara IAD tolong kondisikan dong, masa mayoritas pesawat take off disana. jadinya macet, padahal runway 19L sepi",2025-04-19 02:24:37,positif
Wildan pangestu Pangestu,1,saya sudah tidak semangat lagi karna game nya yang sudah upgarep jadi jelek minta tolong seperti kayak dulu lagi,2025-04-19 02:08:02,negatif
Raffa Raffa,5,sesuai dengan cita cita ku bagus,2025-04-19 01:08:44,positif
Muzaina Saja,1,gak terbang terbang,2025-04-18 15:24:46,negatif
Fery Irawan,1,"game gajelas, gada tutorial mau berangkat nya. malah ngeliatin orang masukin koper",2025-04-18 08:22:13,negatif
almair gilbrant,1,"setelah update banyak banget bug nya, seperti stuck loading screen dan mau masuk game nya seperti dihack dan segala macem padahal sudah saya download ulang masi twtep seperti itu, mohon diperhaiki",2025-04-18 07:43:46,negatif
ANDI Donato,5,"Maybe my suggestion for the next update is to add a situation where the plane skidded due to rainy weather and a flight delay, maybe it would be more interesting.",2025-04-18 06:38:08,positif
Dendy sumawan,5,seru game nya,2025-04-18 04:27:02,positif
rahasi a,2,"saya kecewa, semenjak update akun saya log out sendiri, saya coba login lagi ada masalah dengan akun saya, tolong di benarkan",2025-04-18 04:10:43,negatif
Zidan Asky,3,"tolong lah masa baru update malah ada bug di mapp nyaa, ketika saya mau memilih bandara malah kedip kedip layar saya, padahal ga ada saya pencet apa apaa, tolong di perbaiki mapp nya dongg",2025-04-17 11:42:06,netral
L L,5,"gamenya sudah sangat baik, tapi ya paling saya harapkan adalah tolong tambahkan bandara internasional Soekarno-Hatta, sekian terimakasih",2025-04-17 05:41:47,positif
Ricky Garangan Reborn's (Rifay667),5,loading masuk game agak lama meskipun jaringan bagus. untuk pesawat tolong taambahi lagi dan buat lebih real dan adakan kejadian di bandara seperti pesawat trouble dll,2025-04-16 13:49:49,positif
Nanik Nufiani,5,Bagus banget game nya tapi boleh gak kasih lebih banyak pesawat kaya pesawat laut pesawat tempur pesawat VTOL kalo nggak kasih emergency kaya engine failure Dan emergency lain lain kan jadi lebih seru sama kalo pesawat handling tolong bagusin nanti jadi lebih bagus kalo nggak juga kasih kecelakaan kaya birdstrike engine fire water landing ground collision runway collision runway overrun Tire burst crash landing pasti jadi lebih baguus juga coba kasih atas helikopter biar lebih bagus lagi 😘😘😘.,2025-04-16 13:48:32,positif
Christy Samuel,1,bisae ni gem pendo,2025-04-16 08:26:50,negatif
ardhyapratamayusuf Ardhya,5,tambahin bandara soekarno hatta dongg,2025-04-15 23:47:51,positif
Hamdan Rosyadi,1,sebelum update game ini enak banget mainin nya.. ko sekarang agak aneh yaa.. jadi kurang real.. terus suara atc dan pilot nya jadi gk ada.. malah kaya suara google😅😅,2025-04-15 11:52:03,negatif
Orawediboncos,4,"Sudah bagus, perlu penambahan cuaca extreme seperti Badai, Hujan lebat atau apa seperti di dunia nyata pasti keren",2025-04-15 11:40:38,positif
Adi Syahputra,5,"gamenya sudah bagus, tapi masi ada beberapa pesawat yang mesinnya masi belum bulet sempurna gitu. dan tolong tambahin airport yang ada di Indonesia dong, bandara Soekarno Hatta misalnya, terima kasih.",2025-04-15 08:29:20,positif
Daddio Gionna,5,sukaa banget tpi aku recomend untuk kasih kayak pendaratan darurat 🚨overall bags,2025-04-14 15:09:40,positif
Alminar anita Sari Panggabean,5,"semenjak update sekarang makin keren minn, cuman sedikit saran aja. grafik nya lebih ke realistis lagi supaya lebih bagus dan ketika saya pake grafik cantik saya risih melihat roda pesawatnya tidak berputar. sekian dari saya Terima kasih.",2025-04-14 11:57:27,positif
Roy Rumagit,4,"Diupdate, malah kacau parkiran pesawatnya yg dlunya tertata rapi, sy setting khusus pesawat uk.L skrg ukuran kecil bsa parkir disitu pdahal sy sengaja tdk mensettingnya bsa utk ukuran kecil, serta utk bandara Sidney bisakah Runway ditengah itu dipergunakan utk Landing ato take-off apa hanya pajangan aja",2025-04-14 02:02:31,positif
Fora,5,love this game and it keep improving!! i would love to change the nickname/username of my account somehow is not possible,2025-04-13 16:09:19,positif
Tol Bew,5,keren bgt,2025-04-13 13:34:53,positif
Rahmat,5,"good, aku menemukannya di Instagram edits",2025-04-13 12:19:27,positif
M Khuluk,1,Game rusak mau pilih peta malah kedip²,2025-04-13 08:49:45,negatif
Barius Hiro,5,developer minta coin mau beli bandara,2025-04-13 01:41:00,positif
shifana shifa2404,5,game nya sangat bagus dan seru dan bisa menjadi simulator saat memiliki bandara sendiri,2025-04-13 00:41:37,positif
Budiawan eka,5,Game airport yang sangat bagus 👍👍 Cuman ada beberapa bagian perlu di tingkatkan.. Untuk buka bandara yang lain perlu ngumpul pesawat emas atau beli dengan harga yang lumayan.. dan slot pesawat ketika sudah habis beli lagi.. mungkin dr game developer perlu mempertimbangkan lagi untuk mempermudah buka bandara berikutnya..,2025-04-13 00:24:29,positif
Epepburik Epep,5,SANGAT SERU MOHON TAMBAH KAN BANDARA SOEKARNO HATTA INT AIRPORT MOHON!!,2025-04-12 13:51:19,positif
Marxel Jfncncfh,5,mantap banget,2025-04-12 12:21:10,positif
Syahrul Wahyu Pradana,5,"bagus, gamenya santai, tidak dibatasi waktu, hanya di game ini yang jadi kunci utama ada efisiensi waktu dalam melayani pesawat mulai dari landing sampai dengan take off kembali, good 👍",2025-04-12 11:48:46,positif
Ahmad Riski,3,"edit: tentang pesawat yang macet sudah di perbaiki,saran lagi untuk pesawat yang berbaris jangan di pisah dengan lepas landas jika pesawat sudah berbaris otomatis juga pesawat siap lepas landas itu saja saran dari ku untuk game ini",2025-04-12 05:17:58,netral
Irwansah Putra,1,lama masuk nya,2025-04-12 05:04:24,negatif
Lilin Endah,1,loadingnya pas mulai lama + ngelag parah,2025-04-11 23:35:39,negatif
Azhar Fatir,3,coba bikin biar bisa nerbangin pesawat biar makin seru,2025-04-11 11:42:38,netral
Janeeta Aufa,5,desain sistem dan fitur nya suka bgt acuhhh..,2025-04-11 11:32:06,positif
Mika Sibuea,5,bagus bangat tapi jangan susah cari coin bronse,2025-04-11 08:33:48,positif
ᴍᴀɴɢᴇᴀᴋ Jhonson,5,"heyyy gendut, mana airport indonesia sama ban muter yg kau janjiin itu hahhhhhh!!!!!!!!!!!!!!!!",2025-04-11 06:12:55,positif
Azka Mursyidan,4,game nya bagus tolong fix bug nya layar nya kelap kelip setiap mau tanda tangan kontrak please,2025-04-11 03:31:17,positif
Why junaa,5,menakjubkan,2025-04-10 23:09:54,positif
Yullya Ramadonna,5,"tolong boleh di kurangi tema yg membuat game nya berat,yg dulu lebih ringan dan tidak membuat lag, kalau sekarang system nya sama tetapi tema yg baru dan kurang menyenangkan tambahan tema yg terang dan perbaiki suara ATC yg kurang bagus dan tolong di kurangi tema yg berlebihan dan membuat saya bingung!",2025-04-10 15:18:50,positif
Muhammad Alfatih,1,tolong game saya ga bisa masuk ke bandaranya dan terkeluar,2025-04-10 09:29:11,negatif
Dariel Hasan,5,developer yang terhormat saya mau tanya ketika saya keluar dari permainan apakah waktu penanganan pesawat tetap berjalan?,2025-04-10 09:26:47,positif
Nald Legend,4,"grafik pretty masih buram min,mohon diperbaiki",2025-04-10 06:24:08,positif
Pim Pom,1,Indonesia tidak diikutkan di peta 😂,2025-04-10 04:33:20,negatif
Hafiz Alfarizi,5,pengen jadi pilot asli tapi masih bocil jadinya di game ajalah,2025-04-10 04:27:22,positif
Paperline104,1,game ini tidak bisa save cloud dengan baik,2025-04-09 22:57:28,negatif
OP Warnet,5,Seperti kru sungguhan mantap,2025-04-09 18:49:17,positif
Dian Putera,5,"Tambahakan bandara di Indonesia beserta meskapai penerbangan Indonesia Lion, Batik, Citilink",2025-04-09 18:16:16,positif
Sendriano,5,mwantep,2025-04-09 16:42:15,positif
Iky Wijaya,5,GILEE GOKIL GA TUHHH BAGUS BANGET COKKK GAME NYAA REKOMEN BUAT KALIAN YG GABUT BISA MAEN GAMES INI NAH TERUNTUK DEVELOPER TOLONG HARGA PESAWAT EMASNYA DI MURAHIN DONGH MAHAL BANGET ANJERR KEK GITU TAPI OKE LAH SIPO JOS KLONTOS POKOK E GEM IKI🤯🔥,2025-04-09 14:02:39,positif
Peter Patton,3,"kirain bisa ngendaliin pesawatnya, ternyata nggak",2025-04-09 13:51:10,netral
Untung Budi,5,mahal sekali mau isi top upnya. kudu punya uang banyak kalau isi top upnya. bos kalau bisa di tambahkan koin emasnya dong biar enak mainkan game ini.,2025-04-09 11:32:16,positif
Hendra Junaidi,2,saya sangat tertarik dengan update nya tapi ui di dalam permainan bandara nya sangat buruk tolong di rubah seperti yang lama atau mirip seperti yang lama di versi v2 untuk ui nya,2025-04-09 08:21:28,negatif
Arshaka Virendra,5,puas,2025-04-08 19:07:20,positif
Ilham Dika,5,"The game is good, like the real world, it's really good, 5 stars for it",2025-04-08 14:15:20,positif
Mas Paijo Project,4,"keseluruhan sudah lumayan bagus,mungkin saran saya tambahkan saja bandara yang ada di indonesia karena banyak juga pemain dari indonesia.salam",2025-04-08 13:53:12,positif
Tanpa nama Pradana,3,ayo lah developer grafik nya kayak dulu lagi ngak sekarang jelek dan harga nya sekarang lebih mahal peswat dan beberapa koin juga agak mahal dulu aja gratis mohon kembali kan grafik nya kayak dulu lagi bagus nyesel deh😭😭,2025-04-08 10:44:41,netral
La N,5,game ni sangat bagus menurut saya kalau bisa tambah lagi maskapai dari Indonesia dan lampu di bagian pesawat nya di buat terang itu saja dari saya,2025-04-08 08:56:23,positif
Zaky Waly,1,game kikir cuma mau pindah bandara harus pake koin emas,2025-04-08 08:02:51,negatif
Erlangga RIBS,3,"Masalah update baru - Cahaya terlalu silau - Saat menerima hadiah kontrak bertuliskan (*get and upgrade - get and cancel*) namun harus menekan tombol upgrade kembali ( tidak berguna) - Harga member / pekerja masih mahal 10 koin emas - beberapa ui sangat menganggu /\ saran : - tambahkan bandara Indonesia Bali - tambahkan maskapai dan livery uniknya terima kasih, semoga anda membacanya",2025-04-08 07:54:24,netral
Putra Tama,5,game nya bagus tapi tolong untuk developer tambahin bandara internasional Soekarno Hatta,2025-04-08 02:07:06,positif
Agus Raharjo,5,"10 menit dipersingkat jadi 2 menit,pesawat emergency,bandara full, ada rapat kenegaraan. bagus design kemarin tahu pesawat mana yang akan naik dan turun",2025-04-07 17:28:27,positif
Kholili Mahbub,5,bagus updetnya aku dah setahun maenin ini game,2025-04-07 13:51:30,positif
ARMAN M,4,Mantap dah Krenn,2025-04-07 13:26:17,positif
Mohammad Andrian Saputra,4,"salah satu game yang lumayan, semoga next up semakin bagus lagi dan semakin realistis lagi dan animasi diper smut lagi good job dev",2025-04-07 11:39:03,positif
AliYuda Muhammadramadani,5,ini sangat baguss 👍👍👍👍👍👍👍😍😍,2025-04-07 07:04:41,positif
Efan Fernando,5,dear untuk devoloper overal game ini sudah sangat bagus dari kinerjanya graphic oh iya tolong update kedepan tambahkan bandara Soekarno-hatta banten.saya ingin memainkan bandara tersebut dan untuk player Indonesian bisa merasakan bandara tersebut sekian terimakasih,2025-04-07 02:13:13,positif
Aan Abun,5,game ini bagus untuk hobinya suka pesawat👍,2025-04-07 01:11:28,positif
Sopok Jarwok,2,Masi syukur lah gua kasih bintang 2 udah gua download ehh malah ngak bisa masuk kedalam game ini bug apa gimana tolong perbaiki,2025-04-06 19:04:34,negatif
Ahmad Use,5,"tolong runway bisa di pakai dua arah,supaya kelihatan real",2025-04-06 18:40:00,positif
Haffizd Raffa,5,selama ini baru saya mengetahuinya bahwa begini jika kita memiliki bandara sendiri,2025-04-06 16:19:35,positif
Hilbram Ali,5,kurang bandara Soekarno-Hatta,2025-04-06 16:04:55,positif
Amir Yusuf,4,"ini game yang bagus, satu saranku, update selanjutnya harus ditambahkan scene pesawat mengalami engine failure dan harus kembali ke stand, itu akan membuat game terasa lebih realistis",2025-04-06 15:00:15,positif
Muhammad arka Rizki febrian,5,bagus bet,2025-04-06 12:02:54,positif
Farhlis MD,3,"I changed the review from 5 stars to 3 stars,I didn't get it why is everything suddenly becoming so much expensive,and why the game forcing me to unlock all gate size from A to G size why not S,M,L,XL. Tower operation is becoming more expensive, and time was so short unlike previously update. The UI is really confusing, and I don't think it's friendly for beginners who are just starting to play the game. The new airport is good, but a downside is the significant change from version 2.0 to 3.0.😕",2025-04-06 10:24:07,netral
Fylen Onter,3,setelah update airport Bangkok bug yellow screen,2025-04-06 02:41:06,netral
Ardian Nofrie,5,aku asangat suka,2025-04-06 02:26:41,positif
Pengguna Google,5,Uda saya relinstall Uda 3 kali TPI sama aja hasilnya masih gitu gitu aja,2025-04-05 13:46:51,positif
Oliver Tsai,5,ada no wifi sign tidak ada sign up tidak game bagus,2025-04-05 13:24:06,positif
Mahatva aditya,4,ngecrash mulu pas mau di mainin,2025-04-05 10:56:32,positif
fajar arie Arie,5,Harga stand terlalu mahal tidak sebanding dengan pendapatan,2025-04-05 06:17:57,positif
Harun Alrasid,2,knpa pas mau masuk game nya ga bisa yah dengan keterangan terjadi masalah terus,2025-04-04 21:03:40,negatif
dasmaandreas patria,5,"tolong dong buatkan Bandara internasional Soekarno Hatta, dan buatkan pesawat Citilink atau pesawat yang lain gitu biar orang indonesia main game ini senang dan semakin betah main game ini ok min itu saja yang aku dapat kasih saran",2025-04-04 17:15:40,positif
